Parameters:
version     = V8
date_time   = 251103_102307
comp_time   = 0:03:56.651138
disk_type   = SG
torque_type = G23
log(M_SMBH) = 7.0
alpha       = 0.010
T           = 2.0e+06
gen         = 1g
N           = 10000
R_min       = 7.4e+10
R_max       = 3.0e+17
trap_rad    = 1.9e+14 

Data:
r_1       r_2       m_1       m_2       r_pu      t_pu      paired      migration_1      migration_2      Ng_1
1.057e+14 4.045e+11 3.761e+31 2.023e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.229e+15 4.404e+14 3.729e+31 1.468e+31 2.001e+14 3.486e+13 1 type_I type_I 1
1.011e+12 7.568e+12 2.017e+31 1.727e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.283e+12 1.152e+12 2.970e+31 1.752e+31 0.000e+00 0.000e+00 0 type_I type_I 1
6.741e+15 5.238e+16 4.421e+31 3.478e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.581e+16 4.418e+14 3.733e+31 2.282e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.717e+15 2.162e+17 3.632e+31 1.996e+31 0.000e+00 0.000e+00 0 type_I type_I 1
8.615e+16 1.926e+13 2.148e+31 1.521e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.061e+11 3.496e+16 3.510e+31 1.494e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.109e+14 1.704e+15 3.786e+31 1.823e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.336e+13 9.475e+15 3.511e+31 1.914e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.920e+13 1.247e+11 1.791e+31 1.755e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.540e+11 6.964e+11 4.505e+31 2.141e+31 0.000e+00 0.000e+00 0 type_I type_I 1
4.381e+11 4.028e+13 2.148e+31 1.583e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.659e+17 5.341e+15 3.764e+31 3.674e+31 0.000e+00 0.000e+00 0 type_I type_I 1
8.890e+16 2.809e+12 2.072e+31 1.861e+31 0.000e+00 0.000e+00 0 type_I type_I 1
6.945e+13 2.457e+12 3.674e+31 2.147e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.881e+16 2.056e+16 4.479e+31 2.245e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.063e+11 1.085e+14 1.689e+31 1.450e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.833e+11 1.098e+17 2.075e+31 1.737e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.738e+11 1.976e+13 2.098e+31 2.083e+31 0.000e+00 0.000e+00 0 type_I type_I 1
1.105e+13 2.091e+16 2.087e+31 1.517e+31 0.000e+00 0.000e+00 0 type_I type_I 1
3.192e+16 6.124e+15 3.431e+31 2.124e+31 0.000e+00 0.000e+00 0 type_I type_I 1
2.910e+16 5.535e+16 3.680e+31 2.043e+31 0.000e+00 0.000e+00 0 type_I type_I 1
